GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenID Connect,net.trajano.ms.oidc.internal,HazelcastConfiguration,79,0,0,0,25,0,3,0,3,0
OpenID Connect,net.trajano.ms.oidc.internal,ServerState,19,16,0,0,6,6,4,1,4,1
OpenID Connect,net.trajano.ms.oidc.internal,AuthenticationUriBuilder,9,59,3,3,3,13,3,3,0,3
OpenID Connect,net.trajano.ms.oidc.spi,IssuerConfig,106,93,5,3,29,22,20,6,16,6
OpenID Connect,net.trajano.ms.oidc.spi,IssuersConfig,10,0,0,0,4,0,3,0,3,0
OpenID Connect,net.trajano.ms.oidc,OpenIdConfiguration,75,10,2,0,26,4,15,3,14,3
OpenID Connect,net.trajano.ms.oidc,OpenIdConnect,0,3,0,0,0,2,0,1,0,1
OpenID Connect,net.trajano.ms.oidc,OpenIdConnectResource,277,81,14,0,59,16,9,8,2,8
