
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:27015        127.0.0.1:63466        FIN_WAIT_2      2700
  TCP    127.0.0.1:27015        127.0.0.1:63482        ESTABLISHED     2700
  TCP    127.0.0.1:49429        127.0.0.1:5354         ESTABLISHED     2700
  TCP    127.0.0.1:49430        127.0.0.1:5354         ESTABLISHED     2700
  TCP    127.0.0.1:49454        127.0.0.1:27015        ESTABLISHED     15208
  TCP    127.0.0.1:49624        127.0.0.1:5354         ESTABLISHED     2700
  TCP    127.0.0.1:49628        127.0.0.1:5354         ESTABLISHED     2700
  TCP    127.0.0.1:49631        0.0.0.0:0              LISTENING       3312
  TCP    127.0.0.1:49720        127.0.0.1:49721        ESTABLISHED     6916
  TCP    127.0.0.1:49721        127.0.0.1:49720        ESTABLISHED     6916
  TCP    127.0.0.1:50527        127.0.0.1:50528        ESTABLISHED     16428
  TCP    127.0.0.1:50528        127.0.0.1:50527        ESTABLISHED     16428
  TCP    127.0.0.1:50558        0.0.0.0:0              LISTENING       16428
  TCP    127.0.0.1:50570        127.0.0.1:61449        ESTABLISHED     20612
  TCP    127.0.0.1:50571        127.0.0.1:61447        ESTABLISHED     16428
  TCP    127.0.0.1:51874        127.0.0.1:27015        ESTABLISHED     12596
  TCP    127.0.0.1:60630        127.0.0.1:27015        CLOSE_WAIT      12596
  TCP    127.0.0.1:60636        127.0.0.1:27015        CLOSE_WAIT      12596
  TCP    127.0.0.1:60640        127.0.0.1:27015        ESTABLISHED     88160
  TCP    127.0.0.1:60649        127.0.0.1:27015        ESTABLISHED     88160
  TCP    127.0.0.1:60656        127.0.0.1:27015        ESTABLISHED     12596
  TCP    127.0.0.1:60659        127.0.0.1:27015        ESTABLISHED     88160
  TCP    127.0.0.1:61355        127.0.0.1:50571        TIME_WAIT       0
  TCP    127.0.0.1:61359        127.0.0.1:50571        TIME_WAIT       0
  TCP    127.0.0.1:61369        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61370        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61371        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61372        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61373        127.0.0.1:27015        TIME_WAIT       0
  TCP    127.0.0.1:61379        127.0.0.1:50571        TIME_WAIT       0
  TCP    127.0.0.1:61399        127.0.0.1:50571        TIME_WAIT       0
